time_step,current_traffic,traffic_delta,is_bursting,is_anomalous,bandwidth_utilization,congestion_penalty,is_throttled,base_latency,total_latency,total_failed_vms,is_system_degraded,total_system_latency,db_load_ratio,is_db_bottleneck,queue_length,queue_delta,avg_wait_time,ema_wait_time,dropped_requests,small_vms,medium_vms,large_vms,pending_count,pending_capacity,cooldown_remaining,total_active_capacity,total_hourly_cost,reward,action
56,267,2,False,False,0.267,0.0,False,20.0,55.21218,1,True,55.21218,0.186,True,0,0,0.0,2.1944285272302002e-05,0,5,2,0,0,0,2,1000,20,0.36,1
57,252,-15,False,False,0.252,0.0,False,20.0,55.14408,0,False,55.14408,0.176,True,0,0,0.0,1.53609996906114e-05,0,5,2,0,0,0,1,1000,20,0.36,1
58,244,-8,False,False,0.244,0.0,False,20.186048120176753,55.61008992447723,0,False,55.61008992447723,0.17,True,0,0,0.0,1.075269978342798e-05,0,5,2,0,0,0,0,1000,20,0.45999999999999996,0
59,252,8,False,False,0.252,0.0,False,20.0,55.14408,0,False,55.14408,0.176,True,0,0,0.0,7.526889848399586e-06,0,5,2,0,0,0,0,1000,20,0.45999999999999996,0
60,266,14,False,False,0.266,0.0,False,20.728270063257366,57.173969170794884,0,False,57.173969170794884,0.186,True,0,0,0.0,5.26882289387971e-06,0,5,2,0,0,0,0,1000,20,0.45999999999999996,0
61,258,-8,False,False,0.258,0.0,False,20.0,55.17132,0,False,55.17132,0.18,True,0,0,0.0,3.688176025715797e-06,0,5,2,0,0,0,0,1000,20,0.45999999999999996,0
62,244,-14,False,False,0.244,0.0,False,20.0,55.10776,0,False,55.10776,0.17,True,0,0,0.0,2.581723218001058e-06,0,5,2,0,0,0,0,1000,20,0.45999999999999996,0
63,245,1,False,False,0.245,0.0,False,20.0,55.112300000000005,0,False,55.112300000000005,0.171,True,0,0,0.0,1.8072062526007404e-06,0,5,2,0,0,0,0,1000,20,0.45999999999999996,0
64,246,1,False,False,0.246,0.0,False,20.458173354710688,56.353908057718854,1,True,56.353908057718854,0.172,True,0,0,0.0,1.2650443768205183e-06,0,5,2,0,0,0,0,1000,20,0.45999999999999996,0
65,243,-3,False,False,0.243,0.0,False,20.675955500411902,56.928299851112136,1,True,56.928299851112136,0.17,True,0,0,0.0,8.855310637743628e-07,0,5,2,0,1,100,4,1000,20,0.36,1
